part,comparison,expected,encoder,group,objective,representation,test,n,repeats,im_size,detect,detect_lo,detect_hi,effect_mean,effect_sd
primary,cifar10-vs-cifar100,reject,entropy-2-mse-64d,natural,mse,64d,C2ST,500,200,256,0.55,0.48075488574571107,0.6173605136624569,0.53928,0.0223911053769125
primary,cifar10-vs-cifar100,reject,entropy-2-ssim-64d,natural,ssim,64d,C2ST,500,200,256,0.46,0.39232931140961247,0.5291783690638533,0.5361400000000001,0.02161065477952947
primary,cifar10-vs-cifar100,reject,entropy-2-nlpd-64d,natural,nlpd,64d,C2ST,500,200,256,0.47,0.4020463337087108,0.5390844266463886,0.53183,0.023887048792180256
primary,cifar10-vs-cifar100,reject,entropy-2-mse-u-64d,noise,mse,64d,C2ST,500,200,256,0.315,0.25462218077944276,0.38235084141033604,0.52695,0.023227516010111804
primary,cifar10-vs-cifar100,reject,entropy-2-ssim-u-64d,noise,ssim,64d,C2ST,500,200,256,0.465,0.39718443070423204,0.5341347897100506,0.5343800000000001,0.023310418271665568
primary,cifar10-vs-cifar100,reject,entropy-2-nlpd-u-64d,noise,nlpd,64d,C2ST,500,200,256,0.275,0.21779604313809775,0.3406846595251467,0.52414,0.022113805642629682
primary,cifar10-vs-cifar100,reject,entropy-2-random-s0-64d,random,none,64d,C2ST,500,200,256,0.94,0.8980673646931491,0.9653481500987285,0.57244,0.022086339669578552
primary,cifar10-vs-cifar100,reject,entropy-2-random-s1-64d,random,none,64d,C2ST,500,200,256,0.815,0.7554281794988185,0.8626988367726394,0.55977,0.023454788423688647
primary,cifar10-vs-cifar100,reject,entropy-2-random-s2-64d,random,none,64d,C2ST,500,200,256,0.72,0.6540756858222899,0.7776320715736488,0.55169,0.024396801019805833
primary,cifar10-vs-cifar100,reject,jpeg_bytes,reference,reference,scalar,KS,500,200,256,0.105,0.0697069624619373,0.15518138221353622,0.06168,0.01802491608857029
primary,cifar10-vs-cifar100,reject,entropy-2-mse-64d,natural,mse,64d,C2ST,1000,200,256,0.925,0.8799554020266798,0.9540254929427476,0.547215,0.015211139832372841
