part,comparison,rung,rung_name,member,scorer,im_size,subset,test,n,k_classes,repeats,detect,detect_lo,detect_hi,effect_mean,effect_sd
primary,cifar10-vs-cifar100,2,random pixel projection,s0,random-pixels-s0-64d,32,-1,C2ST,100,,200,0.095,0.06166261364986359,0.14360265114397636,0.5126,0.05185788271805937
primary,cifar10-vs-cifar100,2,random pixel projection,s0,random-pixels-s0-64d,32,-1,C2ST,250,,200,0.105,0.0697069624619373,0.15518138221353622,0.5135200000000001,0.03317001055170168
primary,cifar10-vs-cifar100,2,random pixel projection,s0,random-pixels-s0-64d,32,-1,C2ST,500,,200,0.22,0.16816453539463405,0.2823892279196257,0.51826,0.02382125941254997
primary,cifar10-vs-cifar100,2,random pixel projection,s0,random-pixels-s0-64d,32,-1,C2ST,1000,,200,0.525,0.45597270710507,0.5930849925990139,0.52732,0.01584669050622244
primary,cifar10-vs-cifar100,2,random pixel projection,s1,random-pixels-s1-64d,32,-1,C2ST,100,,200,0.07,0.04215178292291873,0.11405578216683726,0.5071,0.051113501151848324
primary,cifar10-vs-cifar100,2,random pixel projection,s1,random-pixels-s1-64d,32,-1,C2ST,250,,200,0.08,0.04984015517626642,0.12599048979512317,0.51136,0.03139538819635777
primary,cifar10-vs-cifar100,2,random pixel projection,s1,random-pixels-s1-64d,32,-1,C2ST,500,,200,0.185,0.13730116322736063,0.2445718205011816,0.51837,0.02245981077391349
primary,cifar10-vs-cifar100,2,random pixel projection,s1,random-pixels-s1-64d,32,-1,C2ST,1000,,200,0.455,0.38748099090226035,0.5242151496303886,0.52502,0.016728406977354428
primary,cifar10-vs-cifar100,2,random pixel projection,s2,random-pixels-s2-64d,32,-1,C2ST,100,,200,0.065,0.03837598764975976,0.10802003749917945,0.5106,0.04840082643922519
primary,cifar10-vs-cifar100,2,random pixel projection,s2,random-pixels-s2-64d,32,-1,C2ST,250,,200,0.145,0.1028928513530641,0.20048781284894374,0.52068,0.031592682697105676
primary,cifar10-vs-cifar100,2,random pixel projection,s2,random-pixels-s2-64d,32,-1,C2ST,500,,200,0.245,0.19056777914685893,0.3090436838714848,0.52066,0.02198100088712979
primary,cifar10-vs-cifar100,2,random pixel projection,s2,random-pixels-s2-64d,32,-1,C2ST,1000,,200,0.5,0.43135962209034523,0.5686403779096547,0.52557,0.014861867312017031
primary,cifar10-vs-cifar100,3,untrained AE (occupancy),s0,entropy-2-random-s0-64d,256,-1,C2ST,100,,200,0.2,0.15045120743928825,0.26085639611170436,0.53935,0.051779122240532424
primary,cifar10-vs-cifar100,3,untrained AE (occupancy),s0,entropy-2-random-s0-64d,256,-1,C2ST,250,,200,0.465,0.39718443070423204,0.5341347897100506,0.55534,0.03442737863968152
primary,cifar10-vs-cifar100,3,untrained AE (occupancy),s0,entropy-2-random-s0-64d,256,-1,C2ST,500,,200,0.93,0.8859442178331628,0.9578482170770813,0.57163,0.024831494115336656
primary,cifar10-vs-cifar100,3,untrained AE (occupancy),s0,entropy-2-random-s0-64d,256,-1,C2ST,1000,,200,1.0,0.9811539940816791,1.0,0.585795,0.01639704165390818
primary,cifar10-vs-cifar100,3,untrained AE (occupancy),s1,entropy-2-random-s1-64d,256,-1,C2ST,100,,200,0.155,0.11139568514638545,0.211608058937256,0.53075,0.051077759347880565
primary,cifar10-vs-cifar100,3,untrained AE (occupancy),s1,entropy-2-random-s1-64d,256,-1,C2ST,250,,200,0.48,0.4117904407948983,0.5489633994418346,0.5497,0.03551323696876982
primary,cifar10-vs-cifar100,3,untrained AE (occupancy),s1,entropy-2-random-s1-64d,256,-1,C2ST,500,,200,0.815,0.7554281794988185,0.8626988367726394,0.55904,0.024185086313676843
primary,cifar10-vs-cifar100,3,untrained AE (occupancy),s1,entropy-2-random-s1-64d,256,-1,C2ST,1000,,200,1.0,0.9811539940816791,1.0,0.57321,0.016511689798442777
primary,cifar10-vs-cifar100,3,untrained AE (occupancy),s2,entropy-2-random-s2-64d,256,-1,C2ST,100,,200,0.125,0.0861191515921568,0.1780153528465839,0.52675,0.04793680736135856
primary,cifar10-vs-cifar100,3,untrained AE (occupancy),s2,entropy-2-random-s2-64d,256,-1,C2ST,250,,200,0.37,0.3061249750375241,0.43877498650123936,0.54244,0.03079166120884028
primary,cifar10-vs-cifar100,3,untrained AE (occupancy),s2,entropy-2-random-s2-64d,256,-1,C2ST,500,,200,0.675,0.6073185684304498,0.736085329498138,0.55258,0.025904123223919374
primary,cifar10-vs-cifar100,3,untrained AE (occupancy),s2,entropy-2-random-s2-64d,256,-1,C2ST,1000,,200,0.985,0.9568335194437211,0.9948858548155076,0.564795,0.01782254120488992
primary,cifar10-vs-cifar100,3q,untrained AE (activation),s0,entropy-2-random-s0-act64d,256,-1,C2ST,100,,200,0.13,0.09028141365225628,0.18366463072730121,0.5252,0.051700676978159575
primary,cifar10-vs-cifar100,3q,untrained AE (activation),s0,entropy-2-random-s0-act64d,256,-1,C2ST,250,,200,0.29,0.2315392689125782,0.3563760535731166,0.53134,0.03782015864588618
primary,cifar10-vs-cifar100,3q,untrained AE (activation),s0,entropy-2-random-s0-act64d,256,-1,C2ST,500,,200,0.555,0.4857317563236392,0.6221951830253456,0.54011,0.02249461935663726
primary,cifar10-vs-cifar100,3q,untrained AE (activation),s0,entropy-2-random-s0-act64d,256,-1,C2ST,1000,,200,0.925,0.8799554020266798,0.9540254929427476,0.549435,0.015587359462076938
primary,cifar10-vs-cifar100,3q,untrained AE (activation),s1,entropy-2-random-s1-act64d,256,-1,C2ST,100,,200,0.115,0.07786317221824318,0.16664825233886393,0.5223,0.05474221405825672
primary,cifar10-vs-cifar100,3q,untrained AE (activation),s1,entropy-2-random-s1-act64d,256,-1,C2ST,250,,200,0.215,0.16371792563672208,0.2770242977367209,0.5289600000000001,0.03316682680028344
primary,cifar10-vs-cifar100,3q,untrained AE (activation),s1,entropy-2-random-s1-act64d,256,-1,C2ST,500,,200,0.46,0.39232931140961247,0.5291783690638533,0.53518,0.02295925956994258
primary,cifar10-vs-cifar100,3q,untrained AE (activation),s1,entropy-2-random-s1-act64d,256,-1,C2ST,1000,,200,0.88,0.8276563857409517,0.9180206497611246,0.545325,0.015462838516908845
primary,cifar10-vs-cifar100,3q,untrained AE (activation),s2,entropy-2-random-s2-act64d,256,-1,C2ST,100,,200,0.12,0.08197935023887545,0.17234361425904846,0.5168,0.05404405610240593
primary,cifar10-vs-cifar100,3q,untrained AE (activation),s2,entropy-2-random-s2-act64d,256,-1,C2ST,250,,200,0.21,0.15928329527863416,0.271647388153992,0.52656,0.03129227380680413
primary,cifar10-vs-cifar100,3q,untrained AE (activation),s2,entropy-2-random-s2-act64d,256,-1,C2ST,500,,200,0.51,0.441184632709161,0.5784384471724727,0.53823,0.023475244407673367
primary,cifar10-vs-cifar100,3q,untrained AE (activation),s2,entropy-2-random-s2-act64d,256,-1,C2ST,1000,,200,0.905,0.8563973488560237,0.9383373863501365,0.547255,0.01617930699999229
primary,cifar10-vs-cifar100,4,natural AE mse-2 (occupancy),mse,entropy-2-mse-64d,256,-1,C2ST,100,,200,0.115,0.07786317221824318,0.16664825233886393,0.5214,0.054562258017791014
