scorer,contaminant,n,fraction,n_contaminating,repeats,im_size,detect,detect_lo,detect_hi,KS_mean
entropy-2-mse,dtd,4000,0.1,400,500,256,0.086,0.06447280005130328,0.11384038409228468,0.0200095
entropy-2-mse,dtd,4000,0.2,800,500,256,0.112,0.0872623972834597,0.14265430669652132,0.021764
entropy-2-mse,dtd,4000,0.5,2000,500,256,0.314,0.2748671671994545,0.35596919089404155,0.027292
entropy-2-mse,dtd,4000,1.0,4000,500,256,0.996,0.9855339859585811,0.9989023924587627,0.04375749999999999
entropy-2-mse,imagenet64,100,0.0,0,500,256,0.028,0.01675081930862122,0.04644682058455155,0.11604
entropy-2-mse,imagenet64,100,0.005,0,500,256,0.044,0.029233737680341678,0.06571991441984218,0.11818000000000001
entropy-2-mse,imagenet64,100,0.01,1,500,256,0.036,0.022890872735181415,0.05618477326149691,0.11582
entropy-2-mse,imagenet64,100,0.02,2,500,256,0.032,0.01979134135128301,0.05134530159364255,0.1179
entropy-2-mse,imagenet64,100,0.05,5,500,256,0.05,0.03409350665098192,0.07276865002683111,0.11856
entropy-2-mse,imagenet64,100,0.1,10,500,256,0.056,0.03902536261505807,0.07974529864038413,0.11862
entropy-2-mse,imagenet64,100,0.2,20,500,256,0.056,0.03902536261505807,0.07974529864038413,0.12168000000000001
entropy-2-mse,imagenet64,100,0.5,50,500,256,0.098,0.07492354740061163,0.1272066458982347,0.13322000000000003
entropy-2-mse,imagenet64,100,1.0,100,500,256,0.268,0.23105333049086763,0.30848449250747156,0.1661
entropy-2-mse,imagenet64,250,0.0,0,500,256,0.046,0.030844883399787512,0.06807827022627275,0.07498400000000001
entropy-2-mse,imagenet64,250,0.005,1,500,256,0.054,0.03737409848513375,0.07742706124443205,0.07628800000000001
entropy-2-mse,imagenet64,250,0.01,2,500,256,0.032,0.01979134135128301,0.05134530159364255,0.07527200000000002
entropy-2-mse,imagenet64,250,0.02,5,500,256,0.034,0.02133433944461342,0.053771805026188516,0.075232
entropy-2-mse,imagenet64,250,0.05,12,500,256,0.042,0.027632099334746148,0.06335205123956134,0.075184
entropy-2-mse,imagenet64,250,0.1,25,500,256,0.044,0.029233737680341678,0.06571991441984218,0.07602400000000001
entropy-2-mse,imagenet64,250,0.2,50,500,256,0.07,0.05075944317125315,0.09579772876532376,0.080872
entropy-2-mse,imagenet64,250,0.5,125,500,256,0.242,0.20651719550386513,0.28141710765808103,0.10084800000000001
entropy-2-mse,imagenet64,250,1.0,250,500,256,0.692,0.6501972113746908,0.7308749351094421,0.139776
entropy-2-mse,imagenet64,500,0.0,0,500,256,0.072,0.05245772605354006,0.09806894740891321,0.05525200000000001
entropy-2-mse,imagenet64,500,0.005,2,500,256,0.054,0.03737409848513375,0.07742706124443205,0.054040000000000005
entropy-2-mse,imagenet64,500,0.01,5,500,256,0.05,0.03409350665098192,0.07276865002683111,0.054700000000000006
entropy-2-mse,imagenet64,500,0.02,10,500,256,0.062,0.04401893261361028,0.08666023321946106,0.052256
entropy-2-mse,imagenet64,500,0.05,25,500,256,0.046,0.030844883399787512,0.06807827022627275,0.053408000000000004
entropy-2-mse,imagenet64,500,0.1,50,500,256,0.072,0.05245772605354006,0.09806894740891321,0.055156000000000004
entropy-2-mse,imagenet64,500,0.2,100,500,256,0.132,0.10511627994905025,0.16449543928969462,0.060531999999999996
entropy-2-mse,imagenet64,500,0.5,250,500,256,0.418,0.37555228526740775,0.4616981521716604,0.08105200000000001
entropy-2-mse,imagenet64,500,1.0,500,500,256,0.938,0.9133397667805389,0.9559810673863897,0.12704
entropy-2-mse,imagenet64,1000,0.0,0,500,256,0.052,0.03573001990962654,0.07510163829406287,0.03762000000000001
entropy-2-mse,imagenet64,1000,0.005,5,500,256,0.036,0.022890872735181415,0.05618477326149691,0.037892
entropy-2-mse,imagenet64,1000,0.01,10,500,256,0.062,0.04401893261361028,0.08666023321946106,0.03859800000000001
entropy-2-mse,imagenet64,1000,0.02,20,500,256,0.068,0.04906621332682857,0.09352145708387197,0.038402
entropy-2-mse,imagenet64,1000,0.05,50,500,256,0.066,0.04737823802541255,0.09123993085941157,0.03975000000000001
entropy-2-mse,imagenet64,1000,0.1,100,500,256,0.09,0.0679421955899675,0.11830999160537325,0.041184
entropy-2-mse,imagenet64,1000,0.2,200,500,256,0.21,0.17657669884786484,0.2478455799000591,0.04746600000000001
entropy-2-mse,imagenet64,1000,0.5,500,500,256,0.742,0.7019052530371696,0.7784044315938733,0.073196
entropy-2-mse,imagenet64,1000,1.0,1000,500,256,1.0,0.9923753814690964,0.9999999999999999,0.116946
entropy-2-mse,imagenet64,2000,0.0,0,500,256,0.054,0.03737409848513375,0.07742706124443205,0.026773
entropy-2-mse,imagenet64,2000,0.005,10,500,256,0.054,0.03737409848513375,0.07742706124443205,0.027499000000000003
entropy-2-mse,imagenet64,2000,0.01,20,500,256,0.05,0.03409350665098192,0.07276865002683111,0.026688000000000003
entropy-2-mse,imagenet64,2000,0.02,40,500,256,0.036,0.022890872735181415,0.05618477326149691,0.027606000000000002
entropy-2-mse,imagenet64,2000,0.05,100,500,256,0.094,0.07142604659353205,0.12276514365356148,0.028385
entropy-2-mse,imagenet64,2000,0.1,200,500,256,0.138,0.11051755348949738,0.17100267032687666,0.031441000000000004
entropy-2-mse,imagenet64,2000,0.2,400,500,256,0.356,0.31527383687422356,0.39892205326267655,0.03936799999999999
entropy-2-mse,imagenet64,2000,0.5,1000,500,256,0.97,0.9510959078150344,0.9817369507659165,0.06675700000000001
entropy-2-mse,imagenet64,2000,1.0,2000,500,256,1.0,0.9923753814690964,0.9999999999999999,0.11450300000000001
entropy-2-mse,imagenet64,4000,0.0,0,500,256,0.068,0.04906621332682857,0.09352145708387197,0.019424
entropy-2-mse,imagenet64,4000,0.005,20,500,256,0.054,0.03737409848513375,0.07742706124443205,0.0195305
entropy-2-mse,imagenet64,4000,0.01,40,500,256,0.066,0.04737823802541255,0.09123993085941157,0.0199085
entropy-2-mse,imagenet64,4000,0.02,80,500,256,0.072,0.05245772605354006,0.09806894740891321,0.0200895
entropy-2-mse,imagenet64,4000,0.05,200,500,256,0.13,0.10332021037816715,0.16232200733470134,0.021808
entropy-2-mse,imagenet64,4000,0.1,400,500,256,0.242,0.20651719550386513,0.28141710765808103,0.0252935
entropy-2-mse,imagenet64,4000,0.2,800,500,256,0.6,0.5564533144716549,0.6420217618221643,0.033742
entropy-2-mse,imagenet64,4000,0.5,2000,500,256,1.0,0.9923753814690964,0.9999999999999999,0.0621975
entropy-2-mse,imagenet64,4000,1.0,4000,500,256,1.0,0.9923753814690964,0.9999999999999999,0.1115715
entropy-2-mse,cifar100,100,0.0,0,500,256,0.036,0.022890872735181415,0.05618477326149691,0.11532
entropy-2-mse,cifar100,100,0.005,0,500,256,0.038,0.024459922123289107,0.0585852253992656,0.12006000000000001
entropy-2-mse,cifar100,100,0.01,1,500,256,0.028,0.01675081930862122,0.04644682058455155,0.11544000000000003
entropy-2-mse,cifar100,100,0.02,2,500,256,0.038,0.024459922123289107,0.0585852253992656,0.11732
entropy-2-mse,cifar100,100,0.05,5,500,256,0.038,0.024459922123289107,0.0585852253992656,0.11898
entropy-2-mse,cifar100,100,0.1,10,500,256,0.032,0.01979134135128301,0.05134530159364255,0.11508000000000002
entropy-2-mse,cifar100,100,0.2,20,500,256,0.03,0.018263049234083534,0.04890409218496562,0.11438000000000001
entropy-2-mse,cifar100,100,0.5,50,500,256,0.03,0.018263049234083534,0.04890409218496562,0.11738000000000001
entropy-2-mse,cifar100,100,1.0,100,500,256,0.062,0.04401893261361028,0.08666023321946106,0.12384
entropy-2-mse,cifar100,250,0.0,0,500,256,0.04,0.026040593951356387,0.06097405509707471,0.07492000000000001
entropy-2-mse,cifar100,250,0.005,1,500,256,0.036,0.022890872735181415,0.05618477326149691,0.07477600000000001
entropy-2-mse,cifar100,250,0.01,2,500,256,0.048,0.03246497509125218,0.07042768006068446,0.073736
entropy-2-mse,cifar100,250,0.02,5,500,256,0.042,0.027632099334746148,0.06335205123956134,0.076048
entropy-2-mse,cifar100,250,0.05,12,500,256,0.038,0.024459922123289107,0.0585852253992656,0.074752
entropy-2-mse,cifar100,250,0.1,25,500,256,0.042,0.027632099334746148,0.06335205123956134,0.076768
entropy-2-mse,cifar100,250,0.2,50,500,256,0.056,0.03902536261505807,0.07974529864038413,0.07641600000000001
entropy-2-mse,cifar100,250,0.5,125,500,256,0.056,0.03902536261505807,0.07974529864038413,0.078104
entropy-2-mse,cifar100,250,1.0,250,500,256,0.09,0.0679421955899675,0.11830999160537325,0.08288
entropy-2-mse,cifar100,500,0.0,0,500,256,0.026,0.0152562373229252,0.04397190104437119,0.05216000000000001
entropy-2-mse,cifar100,500,0.005,2,500,256,0.038,0.024459922123289107,0.0585852253992656,0.05269200000000001
entropy-2-mse,cifar100,500,0.01,5,500,256,0.04,0.026040593951356387,0.06097405509707471,0.05292800000000001
entropy-2-mse,cifar100,500,0.02,10,500,256,0.048,0.03246497509125218,0.07042768006068446,0.05256400000000001
entropy-2-mse,cifar100,500,0.05,25,500,256,0.038,0.024459922123289107,0.0585852253992656,0.053416
entropy-2-mse,cifar100,500,0.1,50,500,256,0.046,0.030844883399787512,0.06807827022627275,0.052596000000000004
entropy-2-mse,cifar100,500,0.2,100,500,256,0.038,0.024459922123289107,0.0585852253992656,0.052564
entropy-2-mse,cifar100,500,0.5,250,500,256,0.062,0.04401893261361028,0.08666023321946106,0.056156000000000005
entropy-2-mse,cifar100,500,1.0,500,500,256,0.192,0.15987567270959485,0.22882109230544162,0.06702000000000001
entropy-2-mse,cifar100,1000,0.0,0,500,256,0.05,0.03409350665098192,0.07276865002683111,0.03785600000000001
entropy-2-mse,cifar100,1000,0.005,5,500,256,0.056,0.03902536261505807,0.07974529864038413,0.038950000000000005
entropy-2-mse,cifar100,1000,0.01,10,500,256,0.048,0.03246497509125218,0.07042768006068446,0.038200000000000005
entropy-2-mse,cifar100,1000,0.02,20,500,256,0.046,0.030844883399787512,0.06807827022627275,0.038292
entropy-2-mse,cifar100,1000,0.05,50,500,256,0.038,0.024459922123289107,0.0585852253992656,0.037402
entropy-2-mse,cifar100,1000,0.1,100,500,256,0.026,0.0152562373229252,0.04397190104437119,0.03759400000000001
entropy-2-mse,cifar100,1000,0.2,200,500,256,0.044,0.029233737680341678,0.06571991441984218,0.03765400000000001
entropy-2-mse,cifar100,1000,0.5,500,500,256,0.07,0.05075944317125315,0.09579772876532376,0.041042
entropy-2-mse,cifar100,1000,1.0,1000,500,256,0.338,0.2979123151908617,0.38055806121315106,0.05431600000000001
