comparison,scorer,expected,n_target,n_test,im_size,permutations,seed,secs,KL,KL_p,JS,JS_p,wasserstein,wasserstein_p,KS,KS_p,CVM,CVM_p,AD,AD_p
cifar-vs-oneclass,pixel_std,reject,4000,4000,256,1000,0,4.4,0.25195751632151026,0.000999000999000999,0.2497113675697315,0.000999000999000999,0.023090826339088377,0.000999000999000999,0.209,7.357716120134213e-77,40.204743781250045,1.1441149916358029e-08,296.73074423136273,0.001
cifar-vs-uniform,pixel_std,reject,4000,4000,256,1000,0,4.2,4.678201474525503,0.000999000999000999,0.857003193143411,0.000999000999000999,0.04274974384438246,0.000999000999000999,0.53075,0.0,161.38079779687519,6.038324240620341e-08,1257.13911583357,0.001
control-disjoint,pixel_entropy,accept,4000,4000,256,1000,0,7.3,0.009800122684464953,0.6383616383616384,0.059312153949696654,0.5984015984015985,0.013577675831405591,0.6903096903096904,0.01525,0.741020224678118,0.095441375000064,0.6078171550068223,-0.37005746535076645,0.25
cifar10-vs-cifar100,pixel_entropy,reject,4000,4000,256,1000,0,7.6,0.022930077095009934,0.000999000999000999,0.09110838695641756,0.000999000999000999,0.0906278984706604,0.000999000999000999,0.0755,2.457500332009167e-10,4.5836859375001495,3.159372763406054e-11,29.782726148500977,0.001
cifar-vs-imagenet64,pixel_entropy,reject,4000,4000,256,1000,0,8.0,0.018461320292773375,0.000999000999000999,0.08211298831260294,0.000999000999000999,0.0675979367543231,0.000999000999000999,0.06725,2.7516031450813215e-08,3.562568687500061,4.354120619609603e-09,22.285574021224974,0.001
cifar-vs-dtd,pixel_entropy,reject,4000,4000,256,1000,0,14.8,0.08765668051295887,0.000999000999000999,0.18459435616660053,0.000999000999000999,0.30005732818209596,0.000999000999000999,0.1685,5.607982738519829e-50,26.115952000000107,6.100170146794426e-09,177.60200588101983,0.001
cifar-vs-oneclass,pixel_entropy,reject,4000,4000,256,1000,0,7.4,0.18744930865916729,0.000999000999000999,0.24800671005438382,0.000999000999000999,0.26097738758184486,0.000999000999000999,0.25225,3.7620672029029875e-112,63.21007023437505,1.7120261652792124e-08,409.23534045258657,0.001
cifar-vs-uniform,pixel_entropy,reject,4000,4000,256,1000,0,7.3,4.937124163097887,0.000999000999000999,0.8474912942638527,0.000999000999000999,0.4593892970744914,0.000999000999000999,0.6615,0.0,235.10796937500004,9.076620177683736e-08,1596.5638929103914,0.001
control-disjoint,BRISQUE,accept,4000,4000,256,1000,0,301.4,0.00991793337636094,0.7432567432567433,0.060451770261675246,0.6773226773226774,0.10387016712259604,0.9600399600399601,0.0105,0.9801870613022478,0.03958143750014642,0.9354420459159973,-0.900084981171762,0.25
cifar10-vs-cifar100,BRISQUE,reject,4000,4000,256,1000,0,224.1,0.017885438795758855,0.007992007992007992,0.08273552659265856,0.001998001998001998,0.570376925831718,0.000999000999000999,0.037,0.008367349551940797,0.8289165000001049,0.0062396521423124796,6.629080972000638,0.001
cifar-vs-imagenet64,BRISQUE,reject,4000,4000,256,1000,0,232.3,2.9328726986989135,0.000999000999000999,0.8979347122680995,0.000999000999000999,24.47738648716612,0.000999000999000999,0.92,0.0,610.3818381875001,1.4517280610970573e-07,3724.8040612460622,0.001
cifar-vs-dtd,BRISQUE,reject,4000,4000,256,1000,0,234.0,3.7626243898019824,0.000999000999000999,0.9426379024103464,0.000999000999000999,62.43471097129839,0.000999000999000999,0.8665,0.0,454.1055570000001,1.3041327207030662e-07,2750.2072614160825,0.001
cifar-vs-oneclass,BRISQUE,reject,4000,4000,256,1000,0,211.7,0.20408467918062567,0.000999000999000999,0.23687237262126687,0.000999000999000999,2.471721476945042,0.000999000999000999,0.2,2.248817552337068e-70,33.81797462500003,5.191105545421237e-09,246.1854345113724,0.001
cifar-vs-uniform,BRISQUE,reject,4000,4000,256,1000,0,214.8,5.762196865611285,0.000999000999000999,0.9884694009913283,0.000999000999000999,25.365852941288253,0.000999000999000999,1.0,0.0,666.6666875000001,1.9205400003663442e-07,4058.5815347827647,0.001
