comparison,scorer,trained_on,expected,n,repeats,im_size,reject_rate,reject_lo,reject_hi,KS,KS_sd,KL
cifar-vs-dtd,entropy-2-nlpd,natural images,reject,4000,100,256,1.0,0.9630051925239981,0.9999999999999999,0.0701125,0.008647208725941567,0.031059785252681694
cifar-vs-oneclass,entropy-2-nlpd,natural images,reject,3000,100,256,1.0,0.9630051925239981,0.9999999999999999,0.2054133333333333,0.008300886164206272,0.26212037690026163
cifar-vs-uniform,entropy-2-nlpd,natural images,reject,4000,100,256,1.0,0.9630051925239981,0.9999999999999999,0.5241075,0.008090832389192103,3.582489458799914
control-disjoint,entropy-2-mse-u,uniform noise,accept,4000,100,256,0.01,0.0017673865655472645,0.0544875247609346,0.018975,0.0049503156465017465,0.011749921651355017
cifar10-vs-cifar100,entropy-2-mse-u,uniform noise,reject,4000,100,256,0.97,0.915479219195973,0.9897456617765851,0.045265000000000014,0.006609918683312224,0.029645233947381437
cifar-vs-imagenet64,entropy-2-mse-u,uniform noise,reject,4000,100,256,1.0,0.9630051925239981,0.9999999999999999,0.053805000000000006,0.008285648737425454,0.02288193060167061
cifar-vs-dtd,entropy-2-mse-u,uniform noise,reject,4000,100,256,1.0,0.9630051925239981,0.9999999999999999,0.11265750000000001,0.007902662130573468,0.11256688862248528
cifar-vs-oneclass,entropy-2-mse-u,uniform noise,reject,3000,100,256,1.0,0.9630051925239981,0.9999999999999999,0.15621666666666667,0.008350831628579808,0.07774222203331743
cifar-vs-uniform,entropy-2-mse-u,uniform noise,reject,4000,100,256,1.0,0.9630051925239981,0.9999999999999999,0.3925925,0.007729703665083162,3.0545584775490324
control-disjoint,entropy-2-ssim-u,uniform noise,accept,4000,100,256,0.14,0.08526265754464905,0.22137360383807236,0.021799999999999996,0.007929612222549095,0.011608014066029633
cifar10-vs-cifar100,entropy-2-ssim-u,uniform noise,reject,4000,100,256,0.75,0.6569535362992417,0.8245490599627573,0.03698,0.010007289842909517,0.014774201855879198
cifar-vs-imagenet64,entropy-2-ssim-u,uniform noise,reject,4000,100,256,1.0,0.9630051925239981,0.9999999999999999,0.07963999999999999,0.007356656849411967,0.05415882936062067
cifar-vs-dtd,entropy-2-ssim-u,uniform noise,reject,4000,100,256,1.0,0.9630051925239981,0.9999999999999999,0.06491000000000001,0.009702288389859374,0.025841292712221447
cifar-vs-oneclass,entropy-2-ssim-u,uniform noise,reject,3000,100,256,1.0,0.9630051925239981,0.9999999999999999,0.25286,0.00731044610281905,0.3373555897086186
cifar-vs-uniform,entropy-2-ssim-u,uniform noise,reject,4000,100,256,1.0,0.9630051925239981,0.9999999999999999,0.5008175,0.008605801458899685,2.4568193875603686
control-disjoint,entropy-2-nlpd-u,uniform noise,accept,4000,100,256,0.03,0.010254338223414816,0.08452078080402699,0.0182675,0.004961760650212785,0.01089560188797853
cifar10-vs-cifar100,entropy-2-nlpd-u,uniform noise,reject,4000,100,256,0.33,0.24562983793895452,0.4269483966028862,0.0279475,0.008650743826400133,0.0182467837709862
cifar-vs-imagenet64,entropy-2-nlpd-u,uniform noise,reject,4000,100,256,1.0,0.9630051925239981,0.9999999999999999,0.0870575,0.009760946099123794,0.03495853125614668
cifar-vs-dtd,entropy-2-nlpd-u,uniform noise,reject,4000,100,256,1.0,0.9630051925239981,0.9999999999999999,0.06746250000000002,0.005673664490432968,0.05206277349899364
cifar-vs-oneclass,entropy-2-nlpd-u,uniform noise,reject,3000,100,256,1.0,0.9630051925239981,0.9999999999999999,0.15299,0.007684104082816394,0.17198803691790934
cifar-vs-uniform,entropy-2-nlpd-u,uniform noise,reject,4000,100,256,1.0,0.9630051925239981,0.9999999999999999,0.52374,0.007663706674971322,3.394388481916254
control-disjoint,jpeg_bytes,natural images,accept,4000,100,256,0.02,0.005501852234968185,0.07001316294199365,0.0189625,0.005555782460644045,0.011738950510317486
cifar10-vs-cifar100,jpeg_bytes,natural images,reject,4000,100,256,0.81,0.7222097592919214,0.8748534600729574,0.0354025,0.0059701230096204875,0.020351540992857135
cifar-vs-imagenet64,jpeg_bytes,natural images,reject,4000,100,256,1.0,0.9630051925239981,0.9999999999999999,0.6675599999999998,0.00718280237790238,1.1775920156402053
cifar-vs-dtd,jpeg_bytes,natural images,reject,4000,100,256,1.0,0.9630051925239981,0.9999999999999999,0.9570350000000001,0.0020276279244476844,3.6424534901084087
cifar-vs-oneclass,jpeg_bytes,natural images,reject,3000,100,256,1.0,0.9630051925239981,0.9999999999999999,0.24686999999999998,0.00884507333051695,0.24438209850660225
cifar-vs-uniform,jpeg_bytes,natural images,reject,4000,100,256,1.0,0.9630051925239981,0.9999999999999999,1.0,0.0,6.228470356366893
