comparison,scorer,expected,n,repeats,im_size,detect_KS,detect_KS_lo,detect_KS_hi,detect_CVM,KS_mean,KS_sd,KL_mean,n_target_pool,n_test_pool
cifar-vs-imagenet64,pixel_entropy,reject,2000,1000,256,0.885,0.8637364095483508,0.9033168785401287,0.929,0.059846500000000004,0.013531193138448656,0.02677361001993068,60000,30000
cifar-vs-imagenet64,pixel_entropy,reject,4000,1000,256,0.996,0.9897602795701941,0.9984434370321067,1.0,0.054835749999999996,0.009408770346729694,0.018077858679028492,60000,30000
cifar-vs-dtd,pixel_entropy,reject,25,1000,256,0.147,0.12640360474203105,0.1702981856599607,0.2,0.28040000000000004,0.09322574751644526,0.34934329148478954,60000,5640
cifar-vs-dtd,pixel_entropy,reject,50,1000,256,0.325,0.2966873956610005,0.3546520188442363,0.413,0.24004000000000003,0.07695192265304357,0.3169959365025017,60000,5640
cifar-vs-dtd,pixel_entropy,reject,100,1000,256,0.576,0.5451362089936294,0.6062821024212393,0.676,0.20831,0.058036573813415274,0.22755002061193463,60000,5640
cifar-vs-dtd,pixel_entropy,reject,200,1000,256,0.892,0.8712406103126095,0.9097591011956604,0.934,0.18947500000000003,0.0407351123111254,0.15916486621132336,60000,5640
cifar-vs-dtd,pixel_entropy,reject,500,1000,256,0.999,0.9943572970398398,0.9998234581709429,1.0,0.174038,0.026611774762311514,0.11283681547919229,60000,5640
cifar-vs-dtd,pixel_entropy,reject,1000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.165062,0.01834797416610346,0.09431481063376743,60000,5640
cifar-vs-dtd,pixel_entropy,reject,2000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.15977299999999997,0.01276487254147099,0.08555536996516085,60000,5640
cifar-vs-dtd,pixel_entropy,reject,4000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.1560135,0.007504653073260619,0.0812758882617,60000,5640
cifar-vs-oneclass,pixel_entropy,reject,25,1000,256,0.401,0.3710579007277139,0.43169982519239153,0.5,0.35336000000000006,0.11043509587083267,0.3638332405774911,30000,3000
cifar-vs-oneclass,pixel_entropy,reject,50,1000,256,0.723,0.6944492173416589,0.749843985888811,0.804,0.32374,0.08754891432793442,0.3636619895954351,30000,3000
cifar-vs-oneclass,pixel_entropy,reject,100,1000,256,0.966,0.952864531539886,0.9755687989775981,0.988,0.29935,0.05957413448804775,0.32193285222212514,30000,3000
cifar-vs-oneclass,pixel_entropy,reject,200,1000,256,1.0,0.9961731014136095,1.0,1.0,0.28559,0.04326894845036103,0.2739563565215134,30000,3000
cifar-vs-oneclass,pixel_entropy,reject,500,1000,256,1.0,0.9961731014136095,1.0,1.0,0.27389800000000003,0.0282753885207613,0.22912394000661832,30000,3000
cifar-vs-oneclass,pixel_entropy,reject,1000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.26707600000000004,0.018801761194100937,0.20440326738085088,30000,3000
cifar-vs-oneclass,pixel_entropy,reject,2000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.26450049999999997,0.011895135549879204,0.19095630327625582,30000,3000
cifar-vs-uniform,pixel_entropy,reject,25,1000,256,1.0,0.9961731014136095,1.0,1.0,0.68228,0.0943673757185183,0.7406297025658325,60000,30000
cifar-vs-uniform,pixel_entropy,reject,50,1000,256,1.0,0.9961731014136095,1.0,1.0,0.66674,0.06789235892204659,1.1404153583714898,60000,30000
cifar-vs-uniform,pixel_entropy,reject,100,1000,256,1.0,0.9961731014136095,1.0,1.0,0.66295,0.049917907608392396,1.6592292927386716,60000,30000
cifar-vs-uniform,pixel_entropy,reject,200,1000,256,1.0,0.9961731014136095,1.0,1.0,0.6593900000000001,0.03399967499844667,2.235702455609775,60000,30000
cifar-vs-uniform,pixel_entropy,reject,500,1000,256,1.0,0.9961731014136095,1.0,1.0,0.658106,0.021844009796738326,3.062998471117799,60000,30000
cifar-vs-uniform,pixel_entropy,reject,1000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.6568760000000001,0.01466808181051634,3.6810366905562604,60000,30000
cifar-vs-uniform,pixel_entropy,reject,2000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.656317,0.010318454874640882,4.292597630478407,60000,30000
cifar-vs-uniform,pixel_entropy,reject,4000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.6557857500000001,0.007420345978288339,4.879924920347943,60000,30000
control-disjoint,BRISQUE,accept,25,1000,256,0.039,0.028658799196088068,0.052869601300564,0.05,0.22264000000000003,0.07344814769618087,0.38973485883255654,10000,10000
control-disjoint,BRISQUE,accept,50,1000,256,0.047,0.03552692265984565,0.06194024745942417,0.051,0.16518,0.052884474092118945,0.377073168445955,10000,10000
control-disjoint,BRISQUE,accept,100,1000,256,0.038,0.027808845539615407,0.05172720875420944,0.057,0.11908000000000002,0.037196150338442285,0.27982707133211027,10000,10000
control-disjoint,BRISQUE,accept,200,1000,256,0.044,0.03293803969043349,0.058552091820354674,0.053,0.08453000000000001,0.027017200076987994,0.17466204974920602,10000,10000
control-disjoint,BRISQUE,accept,500,1000,256,0.058,0.045133070071593756,0.07424990827877548,0.056,0.05427000000000001,0.016718944344664827,0.08107916232317658,10000,10000
control-disjoint,BRISQUE,accept,1000,1000,256,0.044,0.03293803969043349,0.058552091820354674,0.048,0.038413,0.011425341614148788,0.04287982734056624,10000,10000
control-disjoint,BRISQUE,accept,2000,1000,256,0.038,0.027808845539615407,0.05172720875420944,0.051,0.026683500000000006,0.008187281462732303,0.021816964099570554,10000,10000
control-disjoint,BRISQUE,accept,4000,1000,256,0.03,0.021093603189697094,0.04250368148151,0.044,0.018857,0.00541949499492342,0.010800114630698921,10000,10000
cifar10-vs-cifar100,BRISQUE,reject,25,1000,256,0.041,0.03036480400090244,0.055148288901404066,0.056,0.23224000000000003,0.07543329768742713,0.3971900619405239,20000,20000
cifar10-vs-cifar100,BRISQUE,reject,50,1000,256,0.04,0.02951080927390945,0.05400993742556984,0.057,0.16864000000000004,0.054359455479244825,0.3923551639105753,20000,20000
cifar10-vs-cifar100,BRISQUE,reject,100,1000,256,0.047,0.03552692265984565,0.06194024745942417,0.061,0.12458000000000001,0.038139528051615953,0.2868339056857853,20000,20000
cifar10-vs-cifar100,BRISQUE,reject,200,1000,256,0.094,0.07743389633418887,0.11367354531796026,0.114,0.096005,0.029981910796345185,0.18138904792504262,20000,20000
cifar10-vs-cifar100,BRISQUE,reject,500,1000,256,0.201,0.17732680168555334,0.22696168366910827,0.185,0.06967000000000001,0.019959135752832587,0.08615359295617737,20000,20000
cifar10-vs-cifar100,BRISQUE,reject,1000,1000,256,0.423,0.39273126503297306,0.45385807734933115,0.423,0.05875600000000001,0.015402612245979578,0.0489657424531614,20000,20000
cifar10-vs-cifar100,BRISQUE,reject,2000,1000,256,0.806,0.7803389611908129,0.8293189768743163,0.828,0.05284950000000001,0.011503938445158684,0.029228881221859685,20000,20000
cifar10-vs-cifar100,BRISQUE,reject,4000,1000,256,0.991,0.982983992177176,0.9952579934109885,0.996,0.0478475,0.007902428028776979,0.01860387995315715,20000,20000
cifar-vs-imagenet64,BRISQUE,reject,25,1000,256,1.0,0.9961731014136095,1.0,1.0,0.94196,0.04639998275861748,0.7493502694873132,20000,20000
cifar-vs-imagenet64,BRISQUE,reject,50,1000,256,1.0,0.9961731014136095,1.0,1.0,0.9365,0.03352834621629881,1.2078789665014706,20000,20000
cifar-vs-imagenet64,BRISQUE,reject,100,1000,256,1.0,0.9961731014136095,1.0,1.0,0.92941,0.02560765315291503,1.7384808300504806,20000,20000
cifar-vs-imagenet64,BRISQUE,reject,200,1000,256,1.0,0.9961731014136095,1.0,1.0,0.924735,0.01855949285406256,2.234621184395564,20000,20000
cifar-vs-imagenet64,BRISQUE,reject,500,1000,256,1.0,0.9961731014136095,1.0,1.0,0.9211220000000001,0.011898618239106583,2.6849521405178582,20000,20000
cifar-vs-imagenet64,BRISQUE,reject,1000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.919329,0.008577806188064642,2.8400261707993084,20000,20000
cifar-vs-imagenet64,BRISQUE,reject,2000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.9180159999999999,0.005582225720982631,2.900002123772514,20000,20000
cifar-vs-imagenet64,BRISQUE,reject,4000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.9170609999999999,0.003967086966528466,2.922866238603825,20000,20000
cifar-vs-dtd,BRISQUE,reject,25,1000,256,1.0,0.9961731014136095,1.0,1.0,0.8697600000000001,0.06636220611161145,0.9879069720621022,20000,5640
cifar-vs-dtd,BRISQUE,reject,50,1000,256,1.0,0.9961731014136095,1.0,1.0,0.87516,0.047964303393252784,1.629795911727686,20000,5640
cifar-vs-dtd,BRISQUE,reject,100,1000,256,1.0,0.9961731014136095,1.0,1.0,0.8718800000000001,0.0322035029150557,2.3574884813732533,20000,5640
cifar-vs-dtd,BRISQUE,reject,200,1000,256,1.0,0.9961731014136095,1.0,1.0,0.8710999999999999,0.023280678684265216,2.9928630261883904,20000,5640
cifar-vs-dtd,BRISQUE,reject,500,1000,256,1.0,0.9961731014136095,1.0,1.0,0.870228,0.01455678590898418,3.5173440833243816,20000,5640
cifar-vs-dtd,BRISQUE,reject,1000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.8690910000000001,0.010042346289587915,3.671123772137383,20000,5640
cifar-vs-dtd,BRISQUE,reject,2000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.869136,0.006142434696437552,3.734754750644881,20000,5640
cifar-vs-dtd,BRISQUE,reject,4000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.8689534999999999,0.002903977918304478,3.763917763572923,20000,5640
cifar-vs-oneclass,BRISQUE,reject,25,1000,256,0.186,0.16310078087999175,0.21130251143226153,0.257,0.29708000000000007,0.09439212679032082,0.3940291672267831,10000,1014
cifar-vs-oneclass,BRISQUE,reject,50,1000,256,0.415,0.3848428141123274,0.44580775864735905,0.495,0.25766,0.07384121071596808,0.39908360742462307,10000,1014
cifar-vs-oneclass,BRISQUE,reject,100,1000,256,0.731,0.7026696935780132,0.7575622792750745,0.793,0.22991000000000003,0.0543497184905313,0.33161397265030007,10000,1014
cifar-vs-oneclass,BRISQUE,reject,200,1000,256,0.981,0.9705153112972965,0.9878032122625958,0.99,0.214745,0.04010124655169712,0.2703627168266896,10000,1014
cifar-vs-oneclass,BRISQUE,reject,500,1000,256,1.0,0.9961731014136095,1.0,1.0,0.20191599999999998,0.023522775006363513,0.21479899993597876,10000,1014
cifar-vs-oneclass,BRISQUE,reject,1000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.197108,0.01391065548419628,0.19571759300098898,10000,1014
cifar-vs-uniform,BRISQUE,reject,25,1000,256,1.0,0.9961731014136095,1.0,1.0,1.0,0.0,0.9003254718891658,20000,20000
cifar-vs-uniform,BRISQUE,reject,50,1000,256,1.0,0.9961731014136095,1.0,1.0,1.0,0.0,1.4011751458559887,20000,20000
cifar-vs-uniform,BRISQUE,reject,100,1000,256,1.0,0.9961731014136095,1.0,1.0,1.0,0.0,2.0125779418286402,20000,20000
cifar-vs-uniform,BRISQUE,reject,200,1000,256,1.0,0.9961731014136095,1.0,1.0,1.0,0.0,2.694622846355924,20000,20000
cifar-vs-uniform,BRISQUE,reject,500,1000,256,1.0,0.9961731014136095,1.0,1.0,1.0,0.0,3.638579965287956,20000,20000
cifar-vs-uniform,BRISQUE,reject,1000,1000,256,1.0,0.9961731014136095,1.0,1.0,1.0,0.0,4.357618955383518,20000,20000
cifar-vs-uniform,BRISQUE,reject,2000,1000,256,1.0,0.9961731014136095,1.0,1.0,1.0,0.0,5.074747618519832,20000,20000
cifar-vs-uniform,BRISQUE,reject,4000,1000,256,1.0,0.9961731014136095,1.0,1.0,1.0,0.0,5.788405617890008,20000,20000
