comparison,expected,representation,dims,test,n,repeats,im_size,detect,detect_lo,detect_hi,effect_mean,effect_sd
cifar-vs-imagenet64,reject,jpeg-scalar,1,KS,250,200,256,1.0,0.9811539940816791,1.0,0.6784,0.03187224497897817
cifar-vs-imagenet64,reject,jpeg-scalar,1,C2ST,250,200,256,1.0,0.9811539940816791,1.0,0.82808,0.02319986206855548
cifar-vs-imagenet64,reject,AE-scalar,1,KS,500,200,256,0.925,0.8799554020266798,0.9540254929427476,0.12624000000000002,0.0257554343780104
cifar-vs-imagenet64,reject,AE-scalar,1,C2ST,500,200,256,0.74,0.6750912860870691,0.795862631072137,0.54948,0.020458973581291888
cifar-vs-imagenet64,reject,AE-64d,64,C2ST,500,200,256,1.0,0.9811539940816791,1.0,0.6812699999999999,0.02094581342416663
cifar-vs-imagenet64,reject,jpeg-scalar,1,KS,500,200,256,1.0,0.9811539940816791,1.0,0.6726300000000001,0.02232628719693445
cifar-vs-imagenet64,reject,jpeg-scalar,1,C2ST,500,200,256,1.0,0.9811539940816791,1.0,0.8264199999999999,0.01699716446940487
cifar-vs-imagenet64,reject,AE-scalar,1,KS,1000,200,256,1.0,0.9811539940816791,1.0,0.117125,0.02124121877388395
cifar-vs-imagenet64,reject,AE-scalar,1,C2ST,1000,200,256,0.925,0.8799554020266798,0.9540254929427476,0.54932,0.015561092506633312
cifar-vs-imagenet64,reject,AE-64d,64,C2ST,1000,200,256,1.0,0.9811539940816791,1.0,0.694905,0.014473284872481411
cifar-vs-imagenet64,reject,jpeg-scalar,1,KS,1000,200,256,1.0,0.9811539940816791,1.0,0.668605,0.014156587689129035
cifar-vs-imagenet64,reject,jpeg-scalar,1,C2ST,1000,200,256,1.0,0.9811539940816791,1.0,0.823565,0.011820142765635262
cifar-vs-dtd,reject,AE-scalar,1,KS,250,200,256,0.05,0.027382349028644986,0.08957905629784384,0.08161999999999998,0.024262225784127886
cifar-vs-dtd,reject,AE-scalar,1,C2ST,250,200,256,0.105,0.0697069624619373,0.15518138221353622,0.50936,0.03349373672793168
cifar-vs-dtd,reject,AE-64d,64,C2ST,250,200,256,1.0,0.9811539940816791,1.0,0.82938,0.02460438172358735
cifar-vs-dtd,reject,jpeg-scalar,1,KS,250,200,256,1.0,0.9811539940816791,1.0,0.9608199999999999,0.011807099559163549
cifar-vs-dtd,reject,jpeg-scalar,1,C2ST,250,200,256,1.0,0.9811539940816791,1.0,0.9637399999999999,0.01259890471429958
cifar-vs-dtd,reject,AE-scalar,1,KS,500,200,256,0.095,0.06166261364986359,0.14360265114397636,0.06416000000000001,0.0164114106645346
cifar-vs-dtd,reject,AE-scalar,1,C2ST,500,200,256,0.105,0.0697069624619373,0.15518138221353622,0.50703,0.024083170472344387
